,sample_size,pool_count,total_area,density,district_real_area,total_pool_count
TATUAPE,100,124,0.77,161.68,8.51,1377
CIDADE DUTRA,100,1,0.77,1.3,27.96,37
CAMPO BELO,100,67,0.77,87.36,8.77,767
PIRITUBA,100,16,0.77,20.86,17.22,360
PARI,17,4,0.13,30.68,2.73,84
BOM RETIRO,34,8,0.26,30.68,4.21,130
TREMEMBE,100,27,0.77,35.2,57.64,2030
MORUMBI,100,158,0.77,206.01,11.49,2367
BELEM,54,19,0.41,45.88,6.05,278
JARDIM ANGELA,100,0,0.77,0.0,36.36,0
CAMPO GRANDE,100,44,0.77,57.37,12.94,743
SANTANA,100,81,0.77,105.61,13.09,1383
VILA LEOPOLDINA,65,89,0.5,178.53,6.99,1249
PONTE RASA,100,4,0.77,5.22,6.6,35
JARDIM PAULISTA,100,73,0.77,95.18,6.19,589
BRAS,41,5,0.31,15.9,3.63,58
AGUA RASA,100,64,0.77,83.45,7.18,599
SAPOPEMBA,100,7,0.77,9.13,13.63,125
IGUATEMI,100,9,0.77,11.73,19.43,228
JARAGUA,100,1,0.77,1.3,28.11,37
PERDIZES,100,182,0.77,237.3,6.34,1504
CIDADE LIDER,100,4,0.77,5.22,10.35,54
TUCURUVI,100,46,0.77,59.98,9.44,567
JAGUARE,100,20,0.77,26.08,6.6,173
CURSINO,100,60,0.77,78.23,11.94,935
ITAIM PAULISTA,100,5,0.77,6.52,12.14,80
VILA SONIA,100,74,0.77,96.49,9.99,965
VILA MARIA,100,23,0.77,29.99,11.84,356
LAPA,100,114,0.77,148.64,10.28,1529
MANDAQUI,100,56,0.77,73.02,13.25,968
MOOCA,100,65,0.77,84.75,7.95,674
JACANA,100,12,0.77,15.65,7.46,117
SANTA CECILIA,100,75,0.77,97.79,3.76,368
IPIRANGA,100,41,0.77,53.46,11.0,589
CAMBUCI,36,7,0.28,25.35,3.92,100
VILA MARIANA,100,95,0.77,123.87,8.6,1065
CACHOEIRINHA,100,15,0.77,19.56,13.57,266
CAMPO LIMPO,100,21,0.77,27.38,12.59,345
SAO DOMINGOS,93,36,0.71,50.47,9.69,490
ITAIM BIBI,100,105,0.77,136.91,10.03,1373
VILA MATILDE,100,35,0.77,45.64,8.77,401
CASA VERDE,100,48,0.77,62.59,7.2,451
ARTUR ALVIM,100,12,0.77,15.65,6.5,102
PERUS,100,0,0.77,0.0,23.64,0
CAPAO REDONDO,100,6,0.77,7.82,13.77,108
MOEMA,100,231,0.77,301.19,9.08,2735
PINHEIROS,100,78,0.77,101.7,8.32,847
ANHANGUERA,100,5,0.77,6.52,33.25,217
ARICANDUVA,100,9,0.77,11.73,6.96,82
CIDADE ADEMAR,100,20,0.77,26.08,12.31,321
BARRA FUNDA,21,10,0.16,62.09,5.85,364
RAPOSO TAVARES,100,10,0.77,13.04,12.22,160
SAUDE,100,115,0.77,149.94,9.31,1396
ALTO DE PINHEIROS,55,57,0.42,135.13,7.46,1009
GRAJAU,100,2,0.77,2.61,92.9,243
CANGAIBA,100,14,0.77,18.25,13.72,251
VILA MEDEIROS,100,5,0.77,6.52,7.85,52
SE,39,9,0.3,30.09,2.19,67
PARELHEIROS,100,6,0.77,7.82,152.48,1193
JABAQUARA,100,45,0.77,58.67,14.01,822
BUTANTA,100,66,0.77,86.05,12.95,1115
VILA PRUDENTE,100,40,0.77,52.15,9.52,497
SANTO AMARO,100,87,0.77,113.44,16.04,1819
VILA CURUCA,100,10,0.77,13.04,9.46,124
VILA GUILHERME,69,33,0.53,62.36,7.2,449
FREGUESIA DO O,100,32,0.77,41.72,10.92,456
BRASILANDIA,100,2,0.77,2.61,21.06,55
VILA JACUI,100,8,0.77,10.43,8.28,87
PENHA,100,31,0.77,40.42,11.43,462
RIO PEQUENO,100,47,0.77,61.28,9.66,592
SAO LUCAS,100,7,0.77,9.13,9.67,89
LAJEADO,100,6,0.77,7.82,8.83,70
MARSILAC,51,2,0.39,5.11,208.15,1065
LIMAO,100,12,0.77,15.65,6.46,102
SOCORRO,44,7,0.34,20.74,11.96,249
ERMELINO MATARAZZO,100,12,0.77,15.65,9.37,147
REPUBLICA,100,23,0.77,29.99,2.4,72
SAO RAFAEL,100,8,0.77,10.43,13.07,137
GUAIANASES,100,12,0.77,15.65,8.94,140
PEDREIRA,100,2,0.77,2.61,18.5,49
LIBERDADE,100,65,0.77,84.75,3.65,310
CARRAO,100,54,0.77,70.41,7.9,557
SAO MATEUS,100,8,0.77,10.43,12.8,134
VILA ANDRADE,100,107,0.77,139.51,10.31,1438
ITAQUERA,100,14,0.77,18.25,14.72,269
JARDIM SAO LUIS,100,1,0.77,1.3,26.05,34
PARQUE DO CARMO,79,15,0.61,24.76,15.47,384
SAO MIGUEL,100,13,0.77,16.95,8.62,147
JAGUARA,18,1,0.14,7.24,4.57,34
CONSOLACAO,100,46,0.77,59.98,3.82,229
VILA FORMOSA,100,60,0.77,78.23,7.47,585
JARDIM HELENA,100,9,0.77,11.73,9.25,109
SACOMA,100,27,0.77,35.2,14.55,513
BELA VISTA,100,32,0.77,41.72,2.72,114
CIDADE TIRADENTES,100,4,0.77,5.22,14.93,78
JOSE BONIFACIO,100,5,0.77,6.52,14.57,95
