district,area_km2
AGUA RASA,7.175997448401771
ALTO DE PINHEIROS,7.461072635548331
ANHANGUERA,33.24593285002844
ARICANDUVA,6.95831745738952
ARTUR ALVIM,6.504243061372657
BARRA FUNDA,5.8531105854793
BELA VISTA,2.717748681912302
BELEM,6.045899577662063
BOM RETIRO,4.2054335059233905
BRAS,3.6292729370130017
BRASILANDIA,21.055423790491044
BUTANTA,12.94553620755757
CACHOEIRINHA,13.570544299344784
CAMBUCI,3.9241776397296255
CAMPO BELO,8.771693001659578
CAMPO GRANDE,12.935769793995307
CAMPO LIMPO,12.594796644309708
CANGAIBA,13.723060004960265
CAPAO REDONDO,13.772405632563832
CARRAO,7.901213152667942
CASA VERDE,7.2030240521914966
CIDADE ADEMAR,12.306496088748071
CIDADE DUTRA,27.964319768050693
CIDADE LIDER,10.35370141535461
CIDADE TIRADENTES,14.934637817852623
CONSOLACAO,3.815051156141407
CURSINO,11.942406211392946
ERMELINO MATARAZZO,9.367536570656775
FREGUESIA DO O,10.922787648382796
GRAJAU,92.90469561897659
GUAIANASES,8.938489201796257
IGUATEMI,19.429263191337487
IPIRANGA,11.003088084015065
ITAIM BIBI,10.025631398273983
ITAIM PAULISTA,12.14112943101698
ITAQUERA,14.723577408338492
JABAQUARA,14.00835278568433
JACANA,7.464009981014027
JAGUARA,4.574780976096387
JAGUARE,6.598804655328662
JARAGUA,28.110930654049895
JARDIM ANGELA,36.36396234588507
JARDIM HELENA,9.250981513224266
JARDIM PAULISTA,6.186085024867576
JARDIM SAO LUIS,26.04693305776142
JOSE BONIFACIO,14.565788304407757
LAJEADO,8.831681919418706
LAPA,10.282211315258573
LIBERDADE,3.650710975163032
LIMAO,6.456423508607318
MANDAQUI,13.248051540994366
MARSILAC,208.15395933001244
MOEMA,9.078699048531606
MOOCA,7.947825997638905
MORUMBI,11.488754163215816
PARELHEIROS,152.4824326512335
PARI,2.7295956832420187
PARQUE DO CARMO,15.47214579406588
PEDREIRA,18.500711949496147
PENHA,11.426241377988294
PERDIZES,6.337255677138872
PERUS,23.644039112443302
PINHEIROS,8.318628279474645
PIRITUBA,17.215626911217
PONTE RASA,6.595194001958617
RAPOSO TAVARES,12.221743416246833
REPUBLICA,2.3967705359858513
RIO PEQUENO,9.656970175451447
SACOMA,14.546722283938612
SANTA CECILIA,3.759165074558154
SANTANA,13.090235880457385
SANTO AMARO,16.03532669031287
SAO DOMINGOS,9.693225525575114
SAO LUCAS,9.672617258843976
SAO MATEUS,12.797203185687867
SAO MIGUEL,8.624508544666938
SAO RAFAEL,13.072934439181829
SAPOPEMBA,13.629985369825517
SAUDE,9.306106916386415
SE,2.1935348750161614
SOCORRO,11.964929868419668
TATUAPE,8.512887102167394
TREMEMBE,57.64189367690728
TUCURUVI,9.440039844158605
VILA ANDRADE,10.306532708383074
VILA CURUCA,9.45652152128231
VILA FORMOSA,7.471840147471222
VILA GUILHERME,7.199582245940156
VILA JACUI,8.27675381342756
VILA LEOPOLDINA,6.990774170034849
VILA MARIA,11.840838346388496
VILA MARIANA,8.596830208466873
VILA MATILDE,8.767290371374017
VILA MEDEIROS,7.854695075268807
VILA PRUDENTE,9.523902563885247
VILA SONIA,9.991141680570943
